Title,Salary,City,Country,Years,Pronouns,Race,Orientation,Education
Graphic Designer/Photographer,32000,SOUTH CAROLINA,USA,6,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Graphic Artist,35000,SOUTH CAROLINA,USA,10,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Designer,39500,SOUTH DAKOTA,USA,5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Art Director,47500,SOUTH DAKOTA,USA,5,HE/HIM,INDEGIOUS,STRAIGHT,COLLEGE
Jr Graphic Designer,39000,SOUTH FLORIDA,USA,2,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,48000,SOUTH FLORIDA/FORT LAUDERDALE,USA,7,SHE/HER,BLACK,STRAIGHT,COLLEGE
Graphic Designer,57680,SOUTHEAST,USA,30,HE/HIM,WHITE,STRAIGHT,ASSOCIATE
UI/UX Designer,60000,SOUTHEAST,USA,7,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Design Director,63000,SOUTHEAST,USA,16,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphics Director,80850,SOUTHEAST,USA,17,SHE/HER,WHITE,STRAIGHT,COLLEGE
UX Designer,81500,SOUTHEAST,USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,40000,SOUTHEAST USA,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer/Production/Installer,24000,SOUTHEASTERN UNITED STATES,USA,26,HE/HIM,ASIAN,STRAIGHT,HIGHSCHOOL
Creative Services Director,94000,SOUTHERN CALIFORNIA,USA,22,SHE/HER,ASIAN,STRAIGHT,MASTER
Digital Designer,47500,"SOUTHFIELD, MI",USA,6,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Marketing Art Director,72000,SOUTHWEST,USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Design and Production Manager,41000,SOUTHWEST OHIO,USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Graphic Designer,60000,SOUTHWESTERN US,USA,8,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,51000,"SPARTANBURG, SOUTH CAROLINA",USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Web Designer / Business Developer,28000,"SPOKANE, WA",USA,1,HE/HIM,INDEGIOUS,BI/PAN,COLLEGE
Senior Designer,99000,SPRINGVILLE,USA,6,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,55000,ST. LOUIS,USA,13,SHE/HER,WHITE,STRAIGHT,MASTER
Senior User Experience Designer,120000,ST. LOUIS,USA,16,HE/HIM,MIXED,STRAIGHT,COLLEGE
Jr. Art Director,39140,"ST. LOUIS, MO",USA,1,SHE/HER,WHITE,BI/PAN,COLLEGE
Designer,45000,"ST. LOUIS, MO",USA,2,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic Designer,45000,"ST. LOUIS, MO",USA,6,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Design & Production Specialist,47750,"ST. PAUL, MN",USA,10,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Web Designer,70000,"ST. PAUL, MN",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,40000,"SYRACUSE, NY",USA,1,HE/HIM,MIXED,STRAIGHT,COLLEGE
Graphic Designer,55000,TAMPA,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Studio Designer,51500,"TAMPA, FL",USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,60000,"TAMPA, FL",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,44000,"TAMPA,FL",USA,9,HE/HIM,WHITE,GAY/LES,COLLEGE
Graphic Designer,40000,TEXAS,USA,4,NON-BINARY,WHITE,QUEER/FLUID,COLLEGE
Designer ,40000,TEXAS,USA,3,SHE/HER,BLACK,STRAIGHT,COLLEGE
Video Production,40000,TEXAS,USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Design Director,45000,TEXAS,USA,12,HE/HIM,BLACK,STRAIGHT,COLLEGE
Graphic Designer,50000,TEXAS,USA,12,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Interaction Designer,80000,TEXAS,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Associate Creative Director,105000,TEXAS,USA,15,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,41500,TOLEDO,USA,2,HE/HIM,WHITE,STRAIGHT,COLLEGE
Print Production Artist/ Photographer,36500,TOPEKA,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,45000,"TOWSON, MARYLAND",USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,40000,TROY/DETROIT,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,32000,"TUCKER, GA",USA,2,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,62000,"TUCSON, ARIZONA",USA,13,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Junior Designer,40000,TULSA,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Art Director,72000,"UNION, NEW JERSEY",USA,15,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,60000,UPSTATE NEW YORK,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Design Lead,80000,UPSTATE NEW YORK,USA,34,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Design,35500,UPSTATE NY,USA,3,NON-BINARY,WHITE,QUEER/FLUID,COLLEGE
Graphic Designer,37500,UPSTATE NY,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,52000,UPSTATE NY,USA,7,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Sr. Multimedia Design Specialist,74000,UPSTATE NY,USA,15,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,30000,UTAH,USA,5,HE/HIM,WHITE,STRAIGHT,COLLEGE
graphic designer,42000,UTAH,USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Interactive Designer,78000,"VENTURA, CA",USA,4,SHE/HER,MIXED,BI/PAN,COLLEGE
Principle UX Designer,140000,VERMONT,USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,36000,VIRGINIA,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,46000,VIRGINIA,USA,8,SHE/HER,MIXED,STRAIGHT,MASTER
Graphic Designer,47700,VIRGINIA,USA,5,HE/HIM,WHITE,QUEER/FLUID,COLLEGE
Junior UX Designer (in 2-year rotational program),75000,VIRGINIA,USA,2,SHE/HER,WHITE,BI/PAN,COLLEGE
Creative Director,49000,VISTA,USA,20,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Design Analyst,83658,"WALNUT CREEK, CA",USA,14,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Multimedia Designer,36000,"WARWICK, RHODE ISLAND",USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer ,61000,WASHINGTON,USA,5,SHE/HER,BLACK,STRAIGHT,COLLEGE
Senior Designer,65000,WASHINGTON,USA,10,SHE/HER,WHITE,BI/PAN,COLLEGE
Associate Product Design Prototyper,75000,WASHINGTON,USA,3,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Design Strategist,100000,WASHINGTON,USA,4,HE/HIM,WHITE,GAY/LES,MASTER
Communications Manager,65000,WASHINGTON D.C.,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,70000,WASHINGTON D.C.,USA,4.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,63000,WASHINGTON D.C/ MARYLAND AREA,USA,4,SHE/HER,BLACK,STRAIGHT,COLLEGE
Graphic designer ,43000,WASHINGTON DC,USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic designer,46350,WASHINGTON DC,USA,1.5,SHE/HER,MIXED,STRAIGHT,COLLEGE
Designer,50000,WASHINGTON DC,USA,2,SHE/HER,ASIAN,BI/PAN,COLLEGE
Junior Motion Designer,55000,WASHINGTON DC,USA,2,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Junior Web analyst,55000,WASHINGTON DC,USA,4,HE/HIM,MIXED,STRAIGHT,COLLEGE
Designer,56000,WASHINGTON DC,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,73000,WASHINGTON DC,USA,15,HE/HIM,WHITE,GAY/LES,COLLEGE
senior graphic design,85000,WASHINGTON DC,USA,12,HE/HIM,BLACK,GAY/LES,MASTER
Senior Designer/Web Developer/Prepress Manager,86000,WASHINGTON DC,USA,18,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Designer,90000,WASHINGTON DC,USA,10,SHE/HER,MIXED,STRAIGHT,COLLEGE
Creative director,118000,WASHINGTON DC,USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer Senior,55200,WASHINGTON STATE,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Creative Associate,50000,"WASHINGTON, D.C.",USA,3,HE/HIM,ASIAN,GAY/LES,COLLEGE
"Graphic Designer, Manager",63400,"WASHINGTON, D.C.",USA,6,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Junior Designer,45000,"WASHINGTON, DC",USA,3,NON-BINARY,WHITE,GAY/LES,COLLEGE
Junior Graphic Designer,51000,"WASHINGTON, DC",USA,4,SHE/HER,ASIAN,STRAIGHT,MASTER
Senior Graphic Designer,53000,"WASHINGTON, DC",USA,7,SHE/HER,BLACK,GAY/LES,COLLEGE
Senior Graphic Designer,54000,"WASHINGTON, DC",USA,5,SHE/HER,WHITE,BI/PAN,COLLEGE
Creative Strategist,60000,"WASHINGTON, DC",USA,10,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Multimedia Designer,61500,"WASHINGTON, DC",USA,3,SHE/HER,WHITE,BI/PAN,MASTER
Graphic Designer,70000,"WASHINGTON, DC",USA,10,SHE/HER,BLACK,STRAIGHT,COLLEGE
Senior Design Lead,74850,"WASHINGTON, DC",USA,21,SHE/HER,MIXED,STRAIGHT,COLLEGE
Graphic Designer,77000,"WASHINGTON, DC",USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Creative/Design Lead,83000,"WASHINGTON, DC",USA,22,NON-BINARY,MIXED,STRAIGHT,ASSOCIATE
Associate Creative Director,88000,"WASHINGTON, DC",USA,12,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Graphic Designer/Production Manager,90000,"WASHINGTON, DC",USA,37,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Creative Director,105000,"WASHINGTON, DC",USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Motion Designer,120000,"WASHINGTON, DC",USA,18,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Design Director,130000,"WASHINGTON, DC",USA,13,SHE/HER,ASIAN,STRAIGHT,MASTER
Visual Design Lead,130000,"WASHINGTON, DC",USA,11,SHE/HER,MIXED,STRAIGHT,COLLEGE
Design Lead,145000,"WASHINGTON, DC",USA,10,SHE/HER,MIXED,STRAIGHT,COLLEGE
Designer,71000,"WASHINGTON, DC ",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic designer,41500,WEST,USA,3,HE/HIM,WHITE,STRAIGHT,COLLEGE
Design Director,82000,"WEST PALM BEACH, FL",USA,20,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Designer - graphic and web,27000,"WESTERN FOOTHILLS NORTH CAROLINA, USA",USA,21,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,60000,WESTERN MASSACHUSETTS,USA,9,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,45000,"WESTLAKE VILLAGE, CA",USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Design & Creative Services Specialist,82000,"WEYMOUTH, MA",USA,10,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Designer,47000,WHEATON,USA,3,HE/HIM,MIXED,STRAIGHT,COLLEGE
Pre Press Operator / Graphic Designer,50000,WHITE PLAINS,USA,2.5,HE/HIM,MIXED,STRAIGHT,COLLEGE
Junior Graphic Designer,52275,"WINCHESTER, VA",USA,2,HE/HIM,WHITE,STRAIGHT,COLLEGE
Creative Director,48000,"WINSTON-SALEM, NC",USA,6,SHE/HER,WHITE,BI/PAN,MASTER
Creative Director,70000,"WINSTON-SALEM, NC",USA,15,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,45000,WISCONSIN,USA,3,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,46800,WISCONSIN,USA,6,SHE/HER,ASIAN,GAY/LES,COLLEGE
Graphic Designer,50000,WOOD DALE IL,USA,2,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Designer,54000,"WOODLAND HILLS, CA",USA,6,SHE/HER,ASIAN,BI/PAN,COLLEGE
Graphic Designer,54000,"WOODLAND HILLS, CA",USA,6,SHE/HER,ASIAN,BI/PAN,COLLEGE
